Method,R_e,A@e,RA@e,max info loss,gini threshold,p value
SPH,1,0.2166666666666666,1.0,0.1,,
SPH,2,0.35,1.380952380952381,0.1,,
SPH,3,0.4333333333333333,1.6923076923076923,0.1,,
SPH,4,0.5,2.0,0.1,,
SPH,5,0.5366666666666666,2.2049689440993787,0.1,,
SPH,6,0.57,2.426900584795322,0.1,,
SPH,7,0.5933333333333334,2.606741573033708,0.1,,
SPH,8,0.6166666666666667,2.810810810810811,0.1,,
SPH,9,0.6333333333333333,2.973684210526316,0.1,,
SPH,10,0.6566666666666666,3.2233502538071064,0.1,,
SPH,1,0.21,1.0,0.15,,
SPH,2,0.3533333333333333,1.6056603773584908,0.15,,
SPH,3,0.4466666666666666,1.938805970149254,0.15,,
SPH,4,0.52,2.257692307692308,0.15,,
SPH,5,0.5633333333333334,2.4840236686390536,0.15,,
SPH,6,0.5933333333333334,2.6719101123595506,0.15,,
SPH,7,0.6066666666666667,2.771428571428572,0.15,,
SPH,8,0.6266666666666667,2.94468085106383,0.15,,
SPH,9,0.64,3.075,0.15,,
SPH,10,0.66,3.290909090909091,0.15,,
SPH,1,0.2,1.0,0.2,,
SPH,2,0.36,1.6444444444444446,0.2,,
SPH,3,0.45,1.955555555555556,0.2,,
SPH,4,0.5166666666666667,2.2451612903225806,0.2,,
SPH,5,0.56,2.4738095238095243,0.2,,
SPH,6,0.5833333333333334,2.622857142857143,0.2,,
SPH,7,0.6033333333333334,2.774585635359116,0.2,,
SPH,8,0.63,3.0042328042328044,0.2,,
SPH,9,0.6366666666666667,3.06910994764398,0.2,,
SPH,10,0.6533333333333333,3.251020408163265,0.2,,
SPH,1,0.2,1.0,0.25,,
SPH,2,0.36,1.6444444444444446,0.25,,
SPH,3,0.4566666666666666,1.9737226277372264,0.25,,
SPH,4,0.53,2.281761006289309,0.25,,
SPH,5,0.57,2.48654970760234,0.25,,
SPH,6,0.5933333333333334,2.6325842696629214,0.25,,
SPH,7,0.6133333333333333,2.7815217391304348,0.25,,
SPH,8,0.6366666666666667,2.980104712041885,0.25,,
SPH,9,0.6433333333333333,3.044559585492228,0.25,,
SPH,10,0.6633333333333333,3.2603015075376884,0.25,,
SPH,1,0.2233333333333333,1.0,0.3,,
SPH,2,0.3566666666666666,1.6454545454545455,0.3,,
SPH,3,0.4633333333333332,1.9697841726618708,0.3,,
SPH,4,0.5333333333333333,2.298159509202454,0.3,,
SPH,5,0.5533333333333333,2.4971428571428573,0.3,,
SPH,6,0.5933333333333334,2.619889502762431,0.3,,
SPH,7,0.6133333333333333,2.7668449197860965,0.3,,
SPH,8,0.6466666666666666,2.9628865979381445,0.3,,
SPH,9,0.6566666666666666,3.0578680203045687,0.3,,
SPH,10,0.6866666666666665,3.26896551724138,0.3,,
SPH,1,0.21,1.0,0.35,,
SPH,2,0.3733333333333333,1.6375000000000002,0.35,,
SPH,3,0.47,1.9588652482269504,0.35,,
SPH,4,0.55,2.284848484848485,0.35,,
SPH,5,0.59,2.4824858757062147,0.35,,
SPH,6,0.6066666666666667,2.5846153846153848,0.35,,
SPH,7,0.6266666666666667,2.731914893617021,0.35,,
SPH,8,0.65,2.9282051282051285,0.35,,
SPH,9,0.66,3.023232323232324,0.35,,
SPH,10,0.68,3.234313725490196,0.35,,
SPH,1,0.21,1.0,0.4,,
SPH,2,0.3733333333333333,1.6375000000000002,0.4,,
SPH,3,0.47,1.9588652482269504,0.4,,
SPH,4,0.55,2.284848484848485,0.4,,
SPH,5,0.59,2.4824858757062147,0.4,,
