Method,R_e,A@e,RA@e,max info loss,gini threshold,p value
SPH,1,0.3533333333333333,1.0,0.1,,
SPH,2,0.5066666666666667,1.3026315789473684,0.1,,
SPH,3,0.6,1.5666666666666669,0.1,,
SPH,4,0.66,1.7878787878787878,0.1,,
SPH,5,0.7,1.9714285714285715,0.1,,
SPH,6,0.72,2.083333333333333,0.1,,
SPH,7,0.76,2.3421052631578947,0.1,,
SPH,8,0.7833333333333333,2.5106382978723403,0.1,,
SPH,9,0.8033333333333333,2.672199170124481,0.1,,
SPH,10,0.8133333333333334,2.762295081967213,0.1,,
SPH,1,0.3633333333333333,1.0,0.15,,
SPH,2,0.5366666666666666,1.3229813664596273,0.15,,
SPH,3,0.62,1.5483870967741935,0.15,,
SPH,4,0.68,1.7647058823529411,0.15,,
SPH,5,0.7133333333333334,1.9158878504672896,0.15,,
SPH,6,0.7433333333333333,2.080717488789237,0.15,,
SPH,7,0.7933333333333333,2.3907563025210083,0.15,,
SPH,8,0.8133333333333334,2.528688524590164,0.15,,
SPH,9,0.84,2.734126984126984,0.15,,
SPH,10,0.85,2.8196078431372547,0.15,,
SPH,1,0.3466666666666667,1.0,0.2,,
SPH,2,0.53,1.339506172839506,0.2,,
SPH,3,0.6133333333333333,1.5614973262032086,0.2,,
SPH,4,0.6866666666666666,1.818181818181818,0.2,,
SPH,5,0.7166666666666667,1.9495412844036697,0.2,,
SPH,6,0.7433333333333333,2.0929203539823007,0.2,,
SPH,7,0.7933333333333333,2.3983402489626555,0.2,,
SPH,8,0.8166666666666667,2.556451612903226,0.2,,
SPH,9,0.8433333333333334,2.7578125,0.2,,
SPH,10,0.8533333333333333,2.8416988416988422,0.2,,
SPH,1,0.3633333333333333,1.0,0.25,,
SPH,2,0.5366666666666666,1.3170731707317074,0.25,,
SPH,3,0.6333333333333333,1.5699481865284974,0.25,,
SPH,4,0.6966666666666667,1.7877358490566038,0.25,,
SPH,5,0.72,1.8904109589041096,0.25,,
SPH,6,0.7433333333333333,2.0176991150442483,0.25,,
SPH,7,0.7833333333333333,2.26890756302521,0.25,,
SPH,8,0.8066666666666666,2.4326530612244897,0.25,,
SPH,9,0.8366666666666667,2.6653543307086616,0.25,,
SPH,10,0.8433333333333334,2.72265625,0.25,,
SPH,1,0.37,1.0,0.3,,
SPH,2,0.5466666666666666,1.3173652694610778,0.3,,
SPH,3,0.64,1.558974358974359,0.3,,
SPH,4,0.7,1.7652582159624413,0.3,,
SPH,5,0.7233333333333333,1.8681818181818184,0.3,,
SPH,6,0.7466666666666667,1.9955947136563883,0.3,,
SPH,7,0.7833333333333333,2.226890756302521,0.3,,
SPH,8,0.8033333333333333,2.3688524590163933,0.3,,
SPH,9,0.83,2.5793650793650795,0.3,,
SPH,10,0.8366666666666667,2.6377952755905514,0.3,,
SPH,1,0.3933333333333333,1.0,0.35,,
SPH,2,0.5466666666666667,1.3235294117647058,0.35,,
SPH,3,0.6333333333333333,1.5459183673469388,0.35,,
SPH,4,0.71,1.773148148148148,0.35,,
SPH,5,0.7233333333333333,1.874439461883408,0.35,,
SPH,6,0.77,2.0173160173160167,0.35,,
SPH,7,0.7733333333333333,2.224066390041494,0.35,,
SPH,8,0.7866666666666667,2.3870967741935485,0.35,,
SPH,9,0.7966666666666667,2.543307086614173,0.35,,
SPH,10,0.8033333333333335,2.6015625,0.35,,
SPH,1,0.3633333333333333,1.0,0.4,,
SPH,2,0.5466666666666666,1.3235294117647058,0.4,,
SPH,3,0.6333333333333333,1.5459183673469388,0.4,,
SPH,4,0.7,1.773148148148148,0.4,,
SPH,5,0.7233333333333333,1.874439461883408,0.4,,
SPH,6,0.75,2.0173160173160167,0.4,,
SPH,7,0.7833333333333333,2.224066390041494,0.4,,
SPH,8,0.8066666666666666,2.3870967741935485,0.4,,
SPH,9,0.8266666666666667,2.543307086614173,0.4,,
SPH,10,0.8333333333333334,2.6015625,0.4,,
RF+B,1,0.3866666666666666,1.0,,,
RF+B,2,0.52,1.3262411347517729,,,
RF+B,3,0.5866666666666666,1.5868263473053892,,,
RF+B,4,0.66,1.9010416666666667,,,
RF+B,5,0.6766666666666666,2.0689655172413794,,,
RF+B,6,0.7,2.1449275362318843,,,
RF+B,7,0.73,2.3472222222222223,,,
RF+B,8,0.7533333333333333,2.524663677130045,,,
RF+B,9,0.7666666666666667,2.6387665198237884,,,
RF+B,10,0.7933333333333333,2.747413793103449,,,
SPH+CPI,1,0.37,1.0,0.1,0.2,0.7
SPH+CPI,2,0.5233333333333333,1.2929936305732483,0.1,0.2,0.7
