Method,R_e,A@e,RA@e,max info loss,gini threshold,p value
SPH,1,0.3566666666666667,1.0,0.1,,
SPH,2,0.5233333333333333,1.3184713375796178,0.1,,
SPH,3,0.6,1.5333333333333334,0.1,,
SPH,4,0.65,1.7230769230769232,0.1,,
SPH,5,0.6866666666666666,1.8980582524271843,0.1,,
SPH,6,0.71,2.032863849765258,0.1,,
SPH,7,0.7266666666666667,2.146788990825688,0.1,,
SPH,8,0.75,2.328888888888889,0.1,,
SPH,9,0.7733333333333333,2.530172413793104,0.1,,
SPH,10,0.7966666666666666,2.748953974895397,0.1,,
SPH,1,0.3566666666666667,1.0,0.15,,
SPH,2,0.5266666666666666,1.3227848101265822,0.15,,
SPH,3,0.6166666666666667,1.5675675675675675,0.15,,
SPH,4,0.6833333333333333,1.804878048780488,0.15,,
SPH,5,0.7066666666666667,1.910377358490566,0.15,,
SPH,6,0.7333333333333333,2.059090909090909,0.15,,
SPH,7,0.7633333333333333,2.2532751091703056,0.15,,
SPH,8,0.7833333333333333,2.4,0.15,,
SPH,9,0.8033333333333333,2.564315352697096,0.15,,
SPH,10,0.8166666666666667,2.685714285714285,0.15,,
SPH,1,0.36,1.0,0.2,,
SPH,2,0.5333333333333333,1.325,0.2,,
SPH,3,0.6133333333333333,1.5434782608695652,0.2,,
SPH,4,0.6966666666666667,1.83732057416268,0.2,,
SPH,5,0.7233333333333334,1.953917050691244,0.2,,
SPH,6,0.7566666666666667,2.13215859030837,0.2,,
SPH,7,0.79,2.3375527426160336,0.2,,
SPH,8,0.8066666666666666,2.4545454545454546,0.2,,
SPH,9,0.83,2.63855421686747,0.2,,
SPH,10,0.8433333333333334,2.7549407114624507,0.2,,
SPH,1,0.3666666666666666,1.0,0.25,,
SPH,2,0.5333333333333333,1.3125,0.25,,
SPH,3,0.61,1.524590163934426,0.25,,
SPH,4,0.6966666666666667,1.832535885167464,0.25,,
SPH,5,0.72,1.935185185185185,0.25,,
SPH,6,0.7566666666666667,2.13215859030837,0.25,,
SPH,7,0.7866666666666666,2.317796610169492,0.25,,
SPH,8,0.8033333333333333,2.4356846473029043,0.25,,
SPH,9,0.82,2.569105691056911,0.25,,
SPH,10,0.83,2.65863453815261,0.25,,
SPH,1,0.37,1.0,0.3,,
SPH,2,0.5366666666666666,1.31055900621118,0.3,,
SPH,3,0.6133333333333333,1.5217391304347827,0.3,,
SPH,4,0.7,1.8285714285714283,0.3,,
SPH,5,0.7233333333333334,1.9308755760368663,0.3,,
SPH,6,0.76,2.1271929824561404,0.3,,
SPH,7,0.7866666666666666,2.292372881355932,0.3,,
SPH,8,0.8033333333333333,2.4107883817427385,0.3,,
SPH,9,0.82,2.544715447154472,0.3,,
SPH,10,0.8266666666666667,2.6048387096774195,0.3,,
SPH,1,0.3966666666666666,1.0,0.35,,
SPH,2,0.57,1.304093567251462,0.35,,
SPH,3,0.6733333333333333,1.5643564356435644,0.35,,
SPH,4,0.7233333333333334,1.7327188940092166,0.35,,
SPH,5,0.76,1.8903508771929824,0.35,,
SPH,6,0.7966666666666666,2.079497907949791,0.35,,
SPH,7,0.8066666666666666,2.1404958677685952,0.35,,
SPH,8,0.8266666666666667,2.282258064516129,0.35,,
SPH,9,0.84,2.3888888888888893,0.35,,
SPH,10,0.8533333333333334,2.5078125,0.35,,
SPH,1,0.3866666666666666,1.0,0.4,,
SPH,2,0.56,1.3095238095238095,0.4,,
SPH,3,0.63,1.4973544973544974,0.4,,
SPH,4,0.7166666666666667,1.8,0.4,,
SPH,5,0.7333333333333333,1.8727272727272728,0.4,,
SPH,6,0.77,2.069264069264069,0.4,,
SPH,7,0.7966666666666666,2.2343096234309625,0.4,,
SPH,8,0.8166666666666667,2.3755102040816327,0.4,,
SPH,9,0.8333333333333334,2.508,0.4,,
SPH,10,0.84,2.5674603174603177,0.4,,
RF+B,1,0.3233333333333333,1.0,,,
RF+B,2,0.4666666666666667,1.2797202797202798,,,
RF+B,3,0.5833333333333334,1.5942857142857143,,,
RF+B,4,0.6366666666666667,1.7958115183246073,,,
RF+B,5,0.6866666666666666,1.9852216748768472,,,
RF+B,6,0.7266666666666667,2.0628019323671496,,,
RF+B,7,0.7466666666666667,2.179245283018868,,,
RF+B,8,0.76,2.4414414414414414,,,
RF+B,9,0.7866666666666667,2.5,,,
RF+B,10,0.81,2.957272727272727,,,
SPH+CPI,1,0.34,1.0,0.1,0.2,0.7
SPH+CPI,2,0.4766666666666667,1.2867132867132869,0.1,0.2,0.7
SPH+CPI,3,0.5666666666666667,1.5588235294117647,0.1,0.2,0.7
SPH+CPI,4,0.6233333333333333,1.7807486631016043,0.1,0.2,0.7
