Method,R_e,A@e,RA@e,max info loss,gini threshold,p value
SPH,1,0.0933333333333333,1.0,0.1,,
SPH,2,0.1833333333333333,1.490909090909091,0.1,,
SPH,3,0.24,1.8472222222222223,0.1,,
SPH,4,0.29,2.218390804597701,0.1,,
SPH,5,0.35,2.6952380952380954,0.1,,
SPH,6,0.42,3.246031746031746,0.1,,
SPH,7,0.4566666666666666,3.5474452554744524,0.1,,
SPH,8,0.4833333333333333,3.793103448275862,0.1,,
SPH,9,0.51,4.065359477124183,0.1,,
SPH,10,0.5333333333333333,4.325,0.1,,
SPH,1,0.0966666666666666,1.0,0.15,,
SPH,2,0.1866666666666666,1.4821428571428572,0.15,,
SPH,3,0.2466666666666666,1.8513513513513515,0.15,,
SPH,4,0.3,2.2333333333333334,0.15,,
SPH,5,0.36,2.6944444444444446,0.15,,
SPH,6,0.4266666666666667,3.2109375,0.15,,
SPH,7,0.46,3.4855072463768115,0.15,,
SPH,8,0.49,3.761904761904762,0.15,,
SPH,9,0.5133333333333333,4.0,0.15,,
SPH,10,0.5366666666666666,4.260869565217392,0.15,,
SPH,1,0.0966666666666666,1.0,0.2,,
SPH,2,0.2033333333333333,1.524590163934426,0.2,,
SPH,3,0.2566666666666666,1.8311688311688312,0.2,,
SPH,4,0.3066666666666666,2.1847826086956523,0.2,,
SPH,5,0.3666666666666666,2.645454545454545,0.2,,
SPH,6,0.43,3.13953488372093,0.2,,
SPH,7,0.4633333333333333,3.41726618705036,0.2,,
SPH,8,0.49,3.6666666666666665,0.2,,
SPH,9,0.5133333333333333,3.909090909090909,0.2,,
SPH,10,0.54,4.209876543209877,0.2,,
SPH,1,0.1033333333333333,1.0,0.25,,
SPH,2,0.2233333333333333,1.637313432835821,0.25,,
SPH,3,0.2766666666666666,1.919277108433735,0.25,,
SPH,4,0.32,2.214583333333333,0.25,,
SPH,5,0.38,2.6701754385964915,0.25,,
SPH,6,0.4366666666666666,3.115267175572519,0.25,,
SPH,7,0.4733333333333333,3.423943661971831,0.25,,
SPH,8,0.4933333333333333,3.6135135135135137,0.25,,
SPH,9,0.52,3.8948717948717935,0.25,,
SPH,10,0.5433333333333333,4.161349693251533,0.25,,
SPH,1,0.1,1.0,0.3,,
SPH,2,0.2233333333333333,1.6522388059701494,0.3,,
SPH,3,0.27,1.9024691358024688,0.3,,
SPH,4,0.3166666666666666,2.226315789473684,0.3,,
SPH,5,0.3766666666666666,2.684070796460177,0.3,,
SPH,6,0.4366666666666666,3.153435114503817,0.3,,
SPH,7,0.4733333333333333,3.459154929577465,0.3,,
SPH,8,0.4933333333333333,3.6472972972972975,0.3,,
SPH,9,0.52,3.926923076923077,0.3,,
SPH,10,0.5433333333333333,4.1920245398773,0.3,,
SPH,1,0.13,1.0,0.35,,
SPH,2,0.21,1.665217391304348,0.35,,
SPH,3,0.2766666666666666,1.9072289156626503,0.35,,
SPH,4,0.32,2.2041666666666666,0.35,,
SPH,5,0.39,2.66140350877193,0.35,,
SPH,6,0.45,3.1303030303030304,0.35,,
SPH,7,0.4966666666666667,3.435664335664336,0.35,,
SPH,8,0.5166666666666666,3.623489932885906,0.35,,
SPH,9,0.5433333333333333,3.902547770700637,0.35,,
SPH,10,0.556666666666666,4.167073170731707,0.35,,
SPH,1,0.1,1.0,0.4,,
SPH,2,0.23,1.665217391304348,0.4,,
SPH,3,0.28,1.921428571428572,0.4,,
SPH,4,0.3233333333333333,2.2134020618556702,0.4,,
SPH,5,0.39,2.643859649122807,0.4,,
SPH,6,0.45,3.1151515151515152,0.4,,
SPH,7,0.4966666666666667,3.4216783216783218,0.4,,
SPH,8,0.5166666666666666,3.61006711409396,0.4,,
SPH,9,0.5233333333333333,3.889808917197452,0.4,,
